DEPTH;CAL;DT;GR;NPHI;ILD;RHOB;SP;porosite;K
1145.40002;9.48380;159.21484;57.24805;0.32060;2.89640;2.12120;.44500;0.362448481448845;3795.10234850286
1145.49402;9.47929;162.02734;56.33594;0.32474;2.89602;2.14076;.44500;0.355477525151696;3662.21956689788
1145.50000;9.47900;162.20700;56.27700;0.32500;2.89600;2.14200;.44500;0.350497731396882;3568.87290171395
1145.59998;9.47900;162.02051;57.42676;0.33459;2.72314;2.15840;.53418;0.344351390822209;3455.47512161586
1145.66858;9.47900;161.89258;58.21484;0.34118;2.60461;2.16965;.59540;0.336243614155554;3308.95814526141
1145.75000;9.47900;161.74100;59.15100;0.34900;2.46400;2.18300;.66800;0.368664237190988;3915.76570218738
1145.80005;9.47920;160.35938;60.24414;0.35519;2.38940;2.18480;.76172;0.333681673866015;3263.38740210031
1145.84473;9.47938;159.12891;61.22070;0.36073;2.32275;2.18641;.84521;0.326287993266305;3133.82380760025
1146.00000;9.48000;154.85001;64.61900;0.38000;2.09100;2.19200;1.13600;0.269718174712072;2238.59860874215
1146.02393;9.48086;153.39062;65.12500;0.38258;2.06384;2.19324;1.18652;0.264914654031365;2170.40961722828
1146.20007;9.48720;142.65625;68.85742;0.40161;1.86365;2.20240;1.55859;0.252913249378754;2005.39812253271
1146.21448;9.48772;141.78125;69.16211;0.40316;1.84729;2.20316;1.58887;0.210590168799801;1484.53128133829
1146.25000;9.48900;139.61900;69.91500;0.40700;1.80700;2.20500;1.66400;0.206239072279606;1436.37448285213
1146.40002;9.49500;136.86719;72.70508;0.40700;1.52002;2.22180;1.77625;0.179364361580279;1161.21723824576
1146.41443;9.49558;136.60352;72.97461;0.40700;1.49243;2.22342;1.78705;0.167744189926877;1054.12080994862
1146.50000;9.49900;135.03600;74.56900;0.40700;1.32900;2.23300;1.85100;0.165382371895815;1033.23004133579
1146.59998;9.49900;134.19531;75.25391;0.41220;1.25580;2.23660;1.78107;0.149323603070856;899.042206608932
1146.61975;9.49900;134.02930;75.38965;0.41323;1.24133;2.23731;1.76721;0.146724824048148;878.613951956471
1146.75000;9.49900;132.93401;76.28200;0.42000;1.14600;2.24200;1.67600;0.145279731493306;867.409728886277
1146.80005;9.49900;132.82153;76.43335;0.42160;1.13339;2.24160;1.66899;0.135948321001893;797.730785851111
1146.82751;9.49900;132.75977;76.51660;0.42248;1.12646;2.24138;1.66515;0.13532236457977;793.222115656907
1147.00000;9.49900;132.37199;77.03900;0.42800;1.08300;2.24000;1.64100;0.13237930777548;772.302967036393
1147.03662;9.48273;132.57764;77.09460;0.42932;1.08987;2.23869;1.61359;0.131528520459847;766.341344051881
1147.20007;9.41016;133.49512;77.34314;0.43520;1.12061;2.23280;1.49133;0.131434217969749;765.682922688026
1147.24512;9.39017;133.74756;77.41150;0.43682;1.12907;2.23118;1.45764;0.145147860199217;866.392933322874
1147.25000;9.38800;133.77499;77.41900;0.43700;1.13000;2.23100;1.45400;0.149846468379575;903.195662500643
1147.40002;9.37120;133.85422;76.75977;0.43940;1.19363;2.22380;1.26794;0.154004690984376;936.743538004246
1147.45276;9.36530;133.88205;76.52783;0.44024;1.21597;2.22127;1.20251;0.18606857236314;1226.26743095956
1147.50000;9.36000;133.90700;76.32000;0.44100;1.23600;2.21900;1.14400;0.203081070227047;1402.05189462106
1147.59998;9.35160;133.54395;74.37109;0.43301;1.23960;2.21581;1.01770;0.225304767753709;1654.83447800443
1147.66064;9.34650;133.32324;73.18750;0.42815;1.24178;2.21386;.94092;0.240838503309002;1847.09535401138
1147.75000;9.33900;132.99800;71.44400;0.42100;1.24500;2.21100;.82800;0.259323532012458;2092.58134080122
1147.80005;9.33500;132.55859;69.96094;0.40738;1.29126;2.20280;.76038;0.285831796346534;2476.28618929048
1147.86987;9.32941;131.94629;67.89062;0.38837;1.35571;2.19135;.66602;0.311174895076942;2878.017598396
1148.00000;9.31900;130.80400;64.02800;0.35300;1.47600;2.17000;.49000;0.34648629703972;3494.633056348
1148.07947;9.32345;132.02734;61.38281;0.35300;1.72290;2.14874;.31592;0.360176640414596;3751.51029379948
1148.20007;9.33021;133.88477;57.37109;0.35300;2.09717;2.11639;.05151;0.369421683503869;3930.60830228168
1148.25000;9.33300;134.65401;55.71400;0.35300;2.25200;2.10300;-.05800;0.398403092014538;4521.4605085403
1148.28613;9.33517;137.01562;54.92969;0.34027;2.41650;2.08710;-.07001;0.231298485830941;1727.49973798969
1148.40002;9.34200;144.46094;52.45508;0.30017;2.93604;2.03699;-.10782;0.232090490595366;1737.24505092489
1148.48120;9.34687;149.76562;50.68945;0.27161;3.30615;2.00128;-.13477;0.231360347726094;1728.26033727809
1148.50000;9.34800;150.99100;50.28000;0.26500;3.39200;1.99300;-.14100;0.230884447881731;1722.42007392902
1148.59998;9.34840;155.11328;50.00488;0.23584;3.99463;1.95422;-.19098;0.230208253312468;1714.14180350072
1148.66321;9.34865;157.71875;49.83081;0.21738;4.37549;1.92969;-.22260;0.230745324066696;1720.71552576688
1148.75000;9.34900;161.28999;49.59200;0.19200;4.89900;1.89600;-.26600;0.231173736154235;1725.97030776433
1148.80005;9.34900;161.85547;49.39307;0.18399;5.50977;1.88138;-.28680;0.232855410461936;1746.69025641127
1148.83984;9.34900;162.30566;49.23486;0.17763;5.99512;1.86975;-.30338;0.232428182382124;1741.41287287309
1149.00000;9.34900;164.11800;48.59800;0.15200;7.95000;1.82300;-.37000;0.226681208863985;1671.35574908793
1149.01318;9.35220;164.00000;48.52100;0.15068;8.31250;1.82390;-.36636;0.226220851482841;1665.82048928471
