CAL,DT,GR,NPHI,ILD,RHOB,SP,porosite,K,Well Name,logK
11.2951,144.67285,83.71484,0.53542,0.67222,2.16174,7.32324,0.224435215016481,1644.44063606903,p5,3.216018200170154
11.27777,144.42871,82.98242,0.53495,0.674,2.1628,7.31198,0.227403679228021,1680.05358259001,p5,3.225323133066383
11.26251,144.21289,82.33594,0.53454,0.67557,2.16374,7.30203,0.229940293936007,1710.85636449858,p5,3.2332135497373775
11.26251,144.21289,82.33594,0.53454,0.67557,2.16374,7.30203,0.229940293936007,1710.85636449858,p5,3.2332135497373775
11.20605,143.41406,79.94336,0.53301,0.68137,2.16722,7.26529,0.238686025167834,1819.67800370144,p5,3.259994545354556
11.161,142.778,78.035,0.5318,0.686,2.17,7.236,0.245006254861699,1900.84780137789,p5,3.278947344814996
11.17363,142.70215,77.22852,0.52468,0.6848,2.15677,7.22757,0.247781914041198,1937.16550052619,p5,3.287166725982327
11.17458,142.69641,77.16797,0.52415,0.68471,2.15578,7.22694,0.247987683520707,1939.87414973678,p5,3.2877735557819046
11.17458,142.69641,77.16797,0.52415,0.68471,2.15578,7.22694,0.247987683520707,1939.87414973678,p5,3.2877735557819046
11.19458,142.57629,75.88965,0.51287,0.6828,2.13481,7.2136,0.252210140727443,1995.95297610001,p5,3.300150305257539
11.19461,142.57617,75.8877,0.51286,0.6828,2.1348,7.21358,0.252215328201315,1996.02245358718,p5,3.30016542242939
11.19922,142.54858,75.59375,0.51025,0.68236,2.12996,7.21051,0.253156200133213,2008.64750316144,p5,3.302903729250131
11.203,142.526,75.352,0.50813,0.682,2.126,7.208,0.253926915797446,2019.02434421811,p5,3.3051415554448043
11.1907,143.11182,75.90234,0.50971,0.67311,2.12019,7.21757,0.253542352344982,2013.84263914214,p5,3.304025531946381
11.1907,143.11182,75.90234,0.50971,0.67311,2.12019,7.21757,0.253542352344982,2013.84263914214,p5,3.304025531946381
11.18428,143.41748,76.18945,0.51054,0.66848,2.11716,7.22256,0.253320797850089,2010.86092382013,p5,3.303382034740878
11.1814,143.55469,76.31836,0.51091,0.6664,2.1158,7.2248,0.253215429469394,2009.44377408088,p5,3.303075858774863
11.167,144.24001,76.962,0.51276,0.656,2.109,7.236,0.252643557838097,2001.76268218014,p5,3.301412588663362
11.14716,144.31421,77.24609,0.50968,0.6525,2.10991,7.2435,0.250675885239151,1975.46648543509,p5,3.2956696661034837
11.11188,144.44653,77.75195,0.5042,0.64629,2.11152,7.25687,0.247168977056515,1929.10954421602,p5,3.2853568896956014
11.11188,144.44653,77.75195,0.5042,0.64629,2.11152,7.25687,0.247168977056515,1929.10954421602,p5,3.2853568896956014
11.10577,144.46948,77.83984,0.50325,0.6452,2.1118,7.25919,0.246559413228916,1921.1184984232,p5,3.283554153838321
11.10571,144.46973,77.84082,0.50324,0.64519,2.1118,7.25922,0.246553207849822,1921.03725086004,p5,3.2835357863536814
11.05383,144.66431,78.58496,0.49519,0.63604,2.11417,7.27887,0.241380969151409,1854.02779856601,p5,3.2681162414985083
11.014,144.814,79.157,0.489,0.629,2.116,7.294,0.237391449941771,1803.31169526316,p5,3.256070799286618
10.98175,145.25,79.66699,0.4881,0.6268,2.1178,7.27979,0.235117026058445,1774.77690358913,p5,3.2491437683040054
10.95782,145.57324,80.04395,0.48743,0.62516,2.11914,7.26923,0.233414228799916,1753.59352800237,p5,3.243928933954113
10.95312,145.6377,80.11816,0.4873,0.62484,2.1194,7.26715,0.233078291228022,1749.4325360894,p5,3.2428971993087616
10.95312,145.6377,80.11816,0.4873,0.62484,2.1194,7.26715,0.233078291228022,1749.4325360894,p5,3.2428971993087616
10.85962,146.90137,81.59375,0.48469,0.61846,2.12463,7.22595,0.226238402323149,1666.01548989764,p5,3.221679034973408
10.853,146.992,81.699,0.4845,0.618,2.125,7.223,0.225739592630474,1660.02936707913,p5,3.220115771080779
10.853,148.97852,80.91699,0.48616,0.62634,2.12381,7.20157,0.230067096265653,1712.40307677088,p5,3.2336059994842845
10.853,148.97852,80.91699,0.48616,0.62634,2.12381,7.20157,0.230067096265653,1712.40307677088,p5,3.2336059994842845
10.853,149.83398,80.58008,0.48688,0.62992,2.1233,7.19234,0.231914050143635,1735.05867772026,p5,3.239314166722976
10.853,150.99414,80.12402,0.48785,0.63479,2.1226,7.17982,0.234397949447781,1765.81298375974,p5,3.2469447057976044
10.853,150.99609,80.12305,0.48785,0.6348,2.1226,7.17979,0.234402313824106,1765.86730941422,p5,3.2469580667646283
10.853,151.994,79.729,0.48869,0.639,2.122,7.169,0.236531540886142,1792.49155453957,p5,3.253457118133142
10.8988,152.01801,79.71088,0.48876,0.64024,2.11987,7.16598,0.236914218173157,1797.30218849332,p5,3.2546211031310333
10.95996,152.05017,79.68655,0.48886,0.64191,2.11701,7.16193,0.237429829363213,1803.79623168428,p5,3.2561874753049134
10.95996,152.05017,79.68655,0.48886,0.64191,2.11701,7.16193,0.237429829363213,1803.79623168428,p5,3.2561874753049134
11.00732,152.07501,79.66779,0.48893,0.6432,2.1148,7.1588,0.237826344809553,1808.7998855463,p5,3.2573905218568675
11.0553,152.10028,79.64871,0.489,0.64451,2.11256,7.15562,0.238228422462149,1813.88225492152,p5,3.258609092152123
11.11,152.129,79.627,0.48909,0.646,2.11,7.152,0.238690354108052,1819.73179167259,p5,3.260007382501444
11.12944,147.30078,80.49902,0.49272,0.64997,2.11079,7.16907,0.23465727955745,1769.04339813225,p5,3.247738487142722
11.12959,147.26562,80.50586,0.49274,0.65,2.1108,7.16919,0.234623383273942,1768.62104362034,p5,3.2476347880848713
11.12961,147.26172,80.50684,0.49275,0.65,2.1108,7.1692,0.234620921149243,1768.5903676488,p5,3.247627255368492
11.13127,146.85156,80.58105,0.49306,0.65034,2.11087,7.17065,0.234273512900028,1764.26515690525,p5,3.246563857171518
11.13127,146.85156,80.58105,0.49306,0.65034,2.11087,7.17065,0.234273512900028,1764.26515690525,p5,3.246563857171518
11.159,139.97099,81.825,0.49823,0.656,2.112,7.195,0.228343978604299,1691.4310625331,p5,3.2282543019930054
11.1579,140.00977,81.83545,0.49826,0.65603,2.11199,7.19617,0.22832089888869,1691.15121937619,p5,3.228182443082272
11.12378,141.18359,82.13965,0.49924,0.657,2.1116,7.23242,0.227691041184131,1683.5250856645,p5,3.226219592054371
11.07935,142.71289,82.53662,0.50051,0.65826,2.11109,7.27966,0.226832952780436,1673.1694913932,p5,3.2235399370463043
11.07935,142.71289,82.53662,0.50051,0.65826,2.11109,7.27966,0.226832952780436,1673.1694913932,p5,3.2235399370463043
11.05054,143.70312,82.79346,0.50134,0.65908,2.11077,7.31024,0.226258342457467,1666.2568245192,p5,3.22174194117358
10.983,146.02901,83.396,0.50328,0.661,2.11,7.382,0.224847132251801,1649.35410061363,p5,3.217313904542871
10.9491,147.61719,82.83105,0.50063,0.65897,2.11,7.39035,0.227147640468108,1676.96295683375,p5,3.224523469391788
10.91235,149.3457,82.2168,0.49774,0.65676,2.11,7.39943,0.229581006537738,1706.47211575319,p5,3.2320991961754775
10.91235,149.3457,82.2168,0.49774,0.65676,2.11,7.39943,0.229581006537738,1706.47211575319,p5,3.2320991961754775
10.86298,151.66406,81.3916,0.49386,0.6538,2.11,7.41161,0.232745059097289,1745.31246289002,p5,3.2418731898974675
10.86292,151.66602,81.39062,0.49385,0.6538,2.11,7.41162,0.232747126623582,1745.33801642557,p5,3.241879548459889
10.85773,151.91016,81.30371,0.49345,0.65348,2.11,7.4129,0.233075785302509,1749.40298265162,p5,3.2428898626421017
10.833,153.07401,80.889,0.4915,0.652,2.11,7.419,0.23461576111474,1768.52634954302,p5,3.247611534818503
10.85437,154.13672,79.92773,0.48795,0.6431,2.11356,7.40877,0.237356977786334,1802.87799610805,p5,3.2559663382532844
10.85652,154.24316,79.83105,0.48759,0.6422,2.11392,7.40773,0.237622163002251,1806.2223382332,p5,3.2567712090585905
10.85652,154.24316,79.83105,0.48759,0.6422,2.11392,7.40773,0.237622163002251,1806.2223382332,p5,3.2567712090585905
10.86182,154.50684,79.5918,0.48671,0.64,2.1148,7.40519,0.238275662010051,1814.47977954126,p5,3.25875213281071
10.881,155.461,78.729,0.48352,0.632,2.118,7.396,0.240542486767438,1843.29851560161,p5,3.2655956733527196
10.881,155.29785,78.93359,0.48369,0.63227,2.11909,7.39339,0.239626737983735,1831.623343955,p5,3.262836169954064
10.881,154.26074,80.24023,0.48475,0.634,2.126,7.3768,0.233668345322704,1756.74543952918,p5,3.2447088347922177
10.881,154.25879,80.24219,0.48475,0.634,2.12601,7.37677,0.23365877143998,1756.62664344433,p5,3.244679465580575
10.881,153.93359,80.65234,0.48509,0.63454,2.12817,7.37157,0.231750378790789,1733.0438537065,p5,3.2388095524321945
10.881,153.93359,80.65234,0.48509,0.63454,2.12817,7.37157,0.231750378790789,1733.0438537065,p5,3.2388095524321945
10.881,153.46777,81.24023,0.48556,0.63532,2.13128,7.36412,0.228972897526414,1699.06694948227,p5,3.2302104920049266
10.881,152.46001,82.512,0.4866,0.637,2.138,7.348,0.222820831358169,1625.26740748923,p5,3.210924826264221
10.85431,150.28516,83.06152,0.48816,0.6362,2.14581,7.33859,0.219248121648765,1583.33191943833,p5,3.199571967086001
10.8446,149.49219,83.2627,0.48873,0.6359,2.14867,7.33514,0.217934810611062,1568.08701522187,p5,3.1953701585921475
10.81091,146.73828,83.95898,0.4907,0.63489,2.15855,7.32324,0.213363285846769,1515.73511431919,p5,3.1806233118231977
10.81091,146.73828,83.95898,0.4907,0.63489,2.15855,7.32324,0.213363285846769,1515.73511431919,p5,3.1806233118231977
10.76349,142.86719,84.9375,0.49347,0.63346,2.17245,7.30649,0.206868600608829,1443.26802360475,p5,3.159346989696192
10.748,141.597,85.258,0.49438,0.633,2.177,7.301,0.204723672330084,1419.82716046238,p5,3.1522354797167975
10.68201,141.21899,85.96338,0.49114,0.63349,2.17158,7.35519,0.201240618501715,1382.28322207285,p5,3.140597036657097
10.67499,141.17896,86.03809,0.4908,0.63354,2.17101,7.36093,0.200866824849878,1378.29236812979,p5,3.13934135138687
10.67499,141.17896,86.03809,0.4908,0.63354,2.17101,7.36093,0.200866824849878,1378.29236812979,p5,3.13934135138687
10.64081,140.9834,86.40283,0.48913,0.6338,2.1682,7.38898,0.199028280319889,1358.77092022433,p5,3.1331462437313657
10.64075,140.98315,86.40381,0.48912,0.6338,2.16819,7.38901,0.199022394179139,1358.70871000387,p5,3.133126359456858
10.614,140.83,86.69,0.48781,0.634,2.166,7.411,0.197561052308928,1343.32085106646,p5,3.1281797559339948
10.59534,140.93115,86.64087,0.48559,0.63369,2.16457,7.42291,0.197482121128599,1342.49288808411,p5,3.1279119936833193
10.51147,141.38672,86.42114,0.47559,0.63231,2.15811,7.47638,0.197105929528522,1338.55131537942,p5,3.1266350251747483
10.51147,141.38672,86.42114,0.47559,0.63231,2.15811,7.47638,0.197105929528522,1338.55131537942,p5,3.1266350251747483
10.50482,141.42285,86.40356,0.47479,0.6322,2.1576,7.48059,0.197073886430475,1338.2159299059,p5,3.126526195345424
10.48444,141.5332,86.35034,0.47237,0.63186,2.15603,7.49359,0.196979693103978,1337.23035100791,p5,3.1262062251787324
10.432,141.81799,86.213,0.46611,0.631,2.152,7.527,0.196723976740393,1334.55707990037,p5,3.1253371535867105
10.3905,142.10254,85.40625,0.46413,0.62811,2.15361,7.54179,0.199841216919418,1367.37977452978,p5,3.135889151785262
10.38037,142.17163,85.20996,0.46365,0.6274,2.154,7.54538,0.200578770008609,1375.22125871923,p5,3.138372577228366
10.38031,142.17212,85.20898,0.46364,0.6274,2.154,7.54541,0.20058089783301,1375.24392279722,p5,3.1383797344787645
10.35693,142.33252,84.75293,0.46252,0.62576,2.15491,7.55376,0.202261216154152,1393.21671590962,p5,3.1440186765124096
10.35693,142.33252,84.75293,0.46252,0.62576,2.15491,7.55376,0.202261216154152,1393.21671590962,p5,3.1440186765124096
10.31189,142.64111,83.87695,0.46037,0.62262,2.15666,7.56982,0.205369050992963,1426.85341091467,p5,3.154379357767076
10.303,142.702,83.704,0.45995,0.622,2.157,7.573,0.205966341446405,1433.37675802287,p5,3.1563603581743678
10.29919,143.17969,84.13281,0.45901,0.622,2.1606,7.54456,0.20361669756864,1407.82407119442,p5,3.148548386565153
10.29272,143.99316,84.8623,0.4574,0.622,2.16674,7.49615,0.199566212046777,1364.46283046124,p5,3.1349617094852507
10.29158,144.13672,84.99023,0.45711,0.622,2.16782,7.48761,0.198847396756287,1356.85879847433,p5,3.132534655151177
10.29158,144.13672,84.99023,0.45711,0.622,2.16782,7.48761,0.198847396756287,1356.85879847433,p5,3.132534655151177
10.284,145.088,85.844,0.45523,0.622,2.175,7.431,0.194013489164122,1306.43570042615,p5,3.116088039675821
10.26987,145.54395,86.05908,0.45491,0.62996,2.17455,7.38135,0.19314465651832,1297.5045771786,p5,3.11310889857437
10.2258,146.96484,86.72754,0.45392,0.6548,2.17314,7.22668,0.190385453131563,1269.40721099831,p5,3.1036009610394473
10.2258,146.96484,86.72754,0.45392,0.6548,2.17314,7.22668,0.190385453131563,1269.40721099831,p5,3.1036009610394473
10.21259,147.3916,86.92822,0.45362,0.66226,2.17272,7.1803,0.18953729424382,1260.85150571026,p5,3.100663941412031
10.20883,147.51367,86.98535,0.45353,0.66438,2.1726,7.16711,0.18929337277844,1258.39804701905,p5,3.0998180356089464
10.20877,147.51465,86.98633,0.45353,0.6644,2.1726,7.16687,0.18928900080073,1258.35410038262,p5,3.099802868615469
10.19,148.121,87.271,0.45311,0.675,2.172,7.101,0.18806891726548,1246.12972017506,p5,3.095563254059775
10.19369,146.06445,88.19336,0.45504,0.68461,2.16756,7.04333,0.183968994200577,1205.62999090392,p5,3.081214042825219
10.196,144.7832,88.76758,0.45624,0.69061,2.1648,7.00739,0.181313841893397,1179.87815549046,p5,3.0718371605854866
10.19637,144.57422,88.86133,0.45644,0.69158,2.16435,7.00153,0.180873553807742,1175.64406762571,p5,3.070275856720057
10.19637,144.57422,88.86133,0.45644,0.69158,2.16435,7.00153,0.180873553807742,1175.64406762571,p5,3.070275856720057
10.19979,142.67773,89.71289,0.45822,0.70045,2.16025,6.9483,0.176766219099786,1136.6412784296,p5,3.055623423896529
10.2,142.561,89.765,0.45833,0.701,2.16,6.945,0.176508748143704,1134.22620132871,p5,3.054699675537746
10.14526,142.15088,91.38672,0.46396,0.6994,2.168,6.945,0.167699445641233,1053.71533024671,p5,3.022723298541227
10.1452,142.15039,91.38867,0.46397,0.6994,2.16801,6.945,0.167689041327931,1053.62267864486,p5,3.0226851100026257
10.11938,141.95703,92.15234,0.46662,0.69864,2.17178,6.945,0.163292709763627,1014.98720059749,p5,3.0064605656532413
